date,property_class_a,property_class_b,property_class_c,property_class_d,property_class_e,property_classes_abc,property_classes_de,hk_property_price_idx,property_class_a_remarks,property_class_b_remarks,property_class_c_remarks,property_class_d_remarks,property_class_e_remarks,property_classes_abc_remarks,property_classes_de_remarks,hk_property_price_remarks,hk_property_price_yoy,hk_property_price_qoq,hk_property_price_qoq_ann
2023-01-01,378.6333,334.6667,315.9000,306.6000,304.8000,347.2000,306.2667,345.8000,,,,,Z,,,,-10.2440,1.3977,5.7092
2023-04-01,383.0333,340.2333,318.6667,309.5333,307.1667,352.2000,309.1333,350.6333,,,,,Z,,,,-8.7130,1.3977,5.7092
2023-07-01,363.8000,328.1000,311.0667,298.1667,293.8000,338.1333,297.3667,336.7000,,,,,Z,,,,-8.5882,-3.9738,-14.9725
2023-10-01,341.2333,308.1333,294.1667,282.7333,284.5000,317.6000,283.1000,316.3000,,,,,Z,,,,-7.2525,-6.0588,-22.1203
2024-01-01,328.7000,298.0333,286.5333,276.9000,277.4000,307.2333,277.0000,305.9333,,,,,Z,,,,-11.5288,-3.2775,-12.4794
2024-04-01,326.8000,297.9667,290.3667,280.5667,275.7667,307.1667,279.5667,305.8667,,,,,,,,,-12.7674,-0.0218,-0.0871
2024-07-01,311.6000,285.4667,277.1333,270.3000,265.1000,293.7667,269.1333,292.5000,,,,,,,,,-13.1274,-4.3701,-16.3675
2024-10-01,308.0333,284.5333,275.3667,268.3000,262.3333,291.8333,266.9333,290.5667,,,,,,,,,-8.1357,-0.6610,-2.6178
2025-01-01,305.0667,279.0667,270.0000,263.2000,256.4667,287.3333,261.6000,285.9000,,,,,,,,,-6.5483,-1.6061,-6.2711
2025-04-01,306.4333,279.4000,269.7667,263.3667,256.6333,288.0667,261.6667,286.5667,,,,,,,,,-6.3099,0.2332,0.9360
2025-07-01,310.2333,282.8000,272.9333,265.1667,260.4667,291.7000,264.0000,290.1000,,,,,,,,,-0.8205,1.2330,5.0239
2025-10-01,317.2000,290.4667,283.0333,271.0000,267.5000,299.4667,270.1667,297.7333,,,,,,,,,2.4664,2.6313,10.9479
2026-01-01,326.0333,302.0667,294.0333,278.4000,272.2000,310.0000,276.8667,308.1000,P,P,P,P,P,P,P,P,7.7650,3.4819,14.6719
